|10|,|[-26, -26, -26, -26, -26, -25, -27, -25, -25, -25, -26, -25, -26, -25, -25, -25, -26, -26, -25, -24]|
|30|,|[-37, -37, -37, -36, -37, -37, -37, -38, -38, -36, -38, -37, -37, -38, -37, -38, -37, -37, -39, -36]|
|40|,|[-44, -46, -45, -48, -46, -47, -46, -45, -44, -47, -47, -47, -47, -48, -45, -55, -64, -53, -61, -46]|
|50|,|[-48, -49, -49, -50, -51, -51, -52, -51, -52, -50, -51, -52, -51, -51, -51, -53, -52, -52, -52, -52]|
|60|,|[-48, -51, -49, -50, -50, -52, -50, -51, -48, -51, -49, -48, -49, -51, -47, -50, -47, -51, -50, -48, -48]|
|70|,|[-51, -52, -52, -52, -52, -52, -51, -52, -52, -51, -52, -51, -51, -52, -52, -52, -51, -51, -52, -51]|
|80|,|[-54, -54, -54, -54, -55, -55, -55, -54, -54, -54, -55, -54, -54, -54, -56, -54, -54, -54, -55, -54, -54]|
|90|,|[-57, -57, -58, -58, -58, -57, -58, -58, -57, -57, -57, -57, -58, -57, -57, -58, -57, -57, -58, -57]|
|100|,|[-63, -58, -60, -63, -61, -59, -61, -62, -61, -60, -61, -60, -62, -61, -62, -60, -60, -60, -58, -60]|
|120|,|[-59, -58, -63, -61, -60, -59, -59, -58, -57, -62, -60, -60, -61, -59, -57, -59, -60, -60, -59, -59]|
|140|,|[-66, -63, -58, -62, -61, -62, -65, -62, -66, -65, -63, -60, -65, -61, -71, -61, -59, -65, -68, -63, -61]|
|160|,|[-65, -65, -67, -66, -65, -65, -66, -65, -65, -66, -64, -65, -64, -64, -66, -66, -67, -66, -64, -65, -67]|
|180|,|[-71, -72, -71, -68, -67, -72, -69, -70, -71, -68, -72, -69, -70, -70, -69, -69, -68, -69, -69, -68, -69, -71, -67, -70, -68, -68, -70, -70, -70, -69, -69, -72, -72, -70, -70, -68, -72, -71, -71, -68, -69, -71, -70, -70, -71, -70, -70, -71, -68, -70]|
|200|,|[-73, -73, -73, -71, -72, -65, -70, -70, -69, -71, -71, -67, -74, -71, -72, -76, -66, -67, -70, -67]|
|230|,|[-65, -67, -67, -63, -64, -66, -67, -67, -67, -70, -61, -65, -65, -64, -66, -65, -64, -64, -69, -66, -67]|
|260|,|[-76, -74, -73, -70, -70, -70, -74, -71, -73, -71, -72, -71, -65, -74, -75, -71, -72, -72, -71, -74]|
|290|,|[-68, -67, -67, -67, -69, -70, -69, -65, -72, -70, -66, -71, -64, -67, -69, -73, -67, -66, -65, -66]|
|320|,|[-77, -75, -78, -78, -73, -76, -77, -76, -77, -78, -75, -77, -74, -73, -80, -76, -72, -79, -77, -82]|
|360|,|[-79, -71, -76, -79, -76, -78, -78, -76, -77, -77, -76, -80, -71, -75, -74, -75, -79, -79, -77, -74]|
|400|,|[-63, -68, -61, -61, -72, -68, -63, -66, -65, -70, -65, -67, -65, -67, -67, -65, -69, -64, -68, -69]|
|450|,|[-65, -64, -64, -64, -64, -63, -64, -65, -65, -65, -66, -65, -67, -65, -64, -64, -65, -64, -65, -65]|
|500|,|[-69, -69, -70, -69, -69, -70, -71, -69, -70, -70, -70, -71, -71, -70, -74, -70, -70, -70, -70, -70]|
|600|,|[-88, -85, -81, -85, -79, -81, -80, 127, -80, -82, -81, -83, -86, -81, -84, -82, -79, -81, -83, -82]|
|700|,|[-76, -75, -75, -76, -76, -75, -77, -75, -76, -74, -76, -76, -76, -75, -74, -75, -76, -73, -75, -73]|
